,date,value
722,2022-07-30 19:48:10.410848,5134.0
723,2022-07-30 19:48:12.578928,5142.0
724,2022-07-30 19:48:15.604463,4913.0
725,2022-07-30 19:48:20.781221,5332.0
726,2022-07-30 19:48:23.928202,4853.0
727,2022-07-30 19:48:34.854038,4852.0
728,2022-07-30 19:48:41.603373,5321.0
729,2022-07-30 19:48:43.529052,5254.0
730,2022-07-30 19:48:46.708826,4856.0
731,2022-07-30 19:48:48.830912,4898.0
732,2022-07-30 19:48:50.988031,4912.0
733,2022-07-30 19:48:54.614731,4834.0
734,2022-07-30 19:48:56.767801,5355.0
735,2022-07-30 19:49:06.224750,5375.0
736,2022-07-30 19:49:09.186079,4883.0
737,2022-07-30 19:49:11.314756,5178.0
738,2022-07-30 19:49:13.455883,5295.0
739,2022-07-30 19:49:18.298527,4833.0
740,2022-07-30 19:49:21.759696,4778.0
741,2022-07-30 19:49:27.654338,4932.0
742,2022-07-30 19:49:31.947023,5010.0
743,2022-07-30 19:49:34.079286,4562.0
744,2022-07-30 19:49:38.843519,4643.0
745,2022-07-30 19:49:42.302634,4587.0
746,2022-07-30 19:49:47.907324,5169.0
747,2022-07-30 19:49:54.636396,5005.0
748,2022-07-30 19:49:56.841381,4955.0
749,2022-07-30 19:49:58.985269,5025.0
750,2022-07-30 19:50:12.956971,5236.0
751,2022-07-30 19:50:15.163832,4873.0
752,2022-07-30 19:50:21.759792,5003.0
753,2022-07-30 19:50:24.835543,4836.0
754,2022-07-30 19:50:28.039821,4745.0
755,2022-07-30 19:50:45.626525,4981.0
756,2022-07-30 19:51:01.409449,5227.0
757,2022-07-30 19:51:14.802236,4615.0
758,2022-07-30 19:51:28.706838,5169.0
759,2022-07-30 19:51:41.059382,5125.0
760,2022-07-30 19:51:43.215331,4673.0
761,2022-07-30 19:51:45.327941,5190.0
762,2022-07-30 19:51:48.810056,4713.0
763,2022-07-30 19:51:50.923413,4905.0
764,2022-07-30 19:51:53.911839,5030.0
765,2022-07-30 19:52:04.074603,4717.0
766,2022-07-30 19:52:07.272335,4661.0
767,2022-07-30 19:52:09.522334,4592.0
768,2022-07-30 19:52:12.560055,4771.0
769,2022-07-30 19:52:32.840676,5004.0
770,2022-07-30 19:52:37.375282,4734.0
771,2022-07-30 19:52:39.554046,5026.0
772,2022-07-30 19:52:42.794466,4640.0
773,2022-07-30 19:52:48.168032,5117.0
774,2022-07-30 19:53:00.194902,4835.0
775,2022-07-30 19:53:02.522067,5225.0
776,2022-07-30 19:53:06.071866,5015.0
777,2022-07-30 19:53:10.496017,5052.0
778,2022-07-30 19:53:13.537464,5233.0
779,2022-07-30 19:53:18.358786,4755.0
780,2022-07-30 19:53:21.508326,4607.0
781,2022-07-30 19:53:24.623541,5105.0
782,2022-07-30 19:53:30.114399,4572.0
783,2022-07-30 19:53:48.441906,4745.0
784,2022-07-30 19:54:07.713920,5211.0
785,2022-07-30 19:54:10.622000,4991.0
786,2022-07-30 19:54:29.440791,4734.0
787,2022-07-30 19:54:38.965671,4947.0
788,2022-07-30 19:54:44.092699,5183.0
789,2022-07-30 19:54:53.796792,4725.0
790,2022-07-30 19:54:59.311040,5079.0
791,2022-07-30 19:55:02.305360,4604.0
792,2022-07-30 19:55:09.873921,4689.0
793,2022-07-30 19:55:13.132260,4723.0
794,2022-07-30 19:55:30.383748,4656.0
795,2022-07-30 19:55:36.289848,4569.0
796,2022-07-30 19:55:47.026536,4912.0
797,2022-07-30 19:55:50.203874,4803.0
798,2022-07-30 19:55:53.244349,5157.0
799,2022-07-30 19:55:56.427564,4602.0
800,2022-07-30 19:56:07.381347,4946.0
801,2022-07-30 19:56:10.399769,4812.0
802,2022-07-30 19:56:13.473727,4824.0
803,2022-07-30 19:56:16.453551,4572.0
804,2022-07-30 19:56:22.080937,4862.0
805,2022-07-30 19:56:24.354603,5138.0
806,2022-07-30 19:56:30.446058,4943.0
807,2022-07-30 19:56:36.074564,4936.0
808,2022-07-30 19:56:41.074416,5046.0
809,2022-07-30 19:56:56.369171,5364.0
810,2022-07-30 19:57:04.732851,5066.0
811,2022-07-30 19:57:09.256545,4873.0
812,2022-07-30 19:57:15.209557,5230.0
813,2022-07-30 19:57:17.380769,4764.0
814,2022-07-30 19:57:22.077347,5200.0
815,2022-07-30 19:57:24.382639,5334.0
816,2022-07-30 19:57:29.995931,5059.0
817,2022-07-30 19:57:32.208913,4888.0
818,2022-07-30 19:57:34.367349,4643.0
819,2022-07-30 19:57:41.058811,4982.0
820,2022-07-30 19:57:49.777876,4879.0
821,2022-07-30 19:57:54.552759,5125.0
822,2022-07-30 19:57:57.891342,5082.0
823,2022-07-30 19:58:00.442577,5078.0
824,2022-07-30 19:58:07.157784,5322.0
825,2022-07-30 19:58:10.159569,4759.0
826,2022-07-30 19:58:13.438066,4860.0
827,2022-07-30 19:58:32.391332,4830.0
828,2022-07-30 19:58:49.309104,4725.0
829,2022-07-30 19:59:05.312268,4617.0
830,2022-07-30 19:59:10.502769,4814.0
831,2022-07-30 19:59:13.562738,4983.0
832,2022-07-30 19:59:17.581033,5097.0
833,2022-07-30 19:59:21.973237,4505.0
834,2022-07-30 19:59:26.315883,4855.0
835,2022-07-30 19:59:34.313919,4846.0
836,2022-07-30 19:59:37.494183,4656.0
837,2022-07-30 19:59:40.474336,4540.0
838,2022-07-30 19:59:45.873139,4843.0
839,2022-07-30 19:59:48.269638,5036.0
840,2022-07-30 19:59:56.161090,4987.0
841,2022-07-30 20:00:22.237588,4826.0
842,2022-07-30 20:00:24.425547,5185.0
843,2022-07-30 20:00:29.611663,4896.0
844,2022-07-30 20:00:51.002616,4982.0
845,2022-07-30 20:00:53.955603,4802.0
846,2022-07-30 20:01:25.826089,4915.0
847,2022-07-30 20:02:09.385809,4834.0
848,2022-07-30 20:02:12.728303,5051.0
849,2022-07-30 20:02:17.159598,4601.0
850,2022-07-30 20:02:22.474633,4551.0
851,2022-07-30 20:02:27.813650,4955.0
852,2022-07-30 20:02:32.101477,4847.0
853,2022-07-30 20:02:45.090894,5141.0
854,2022-07-30 20:02:47.224701,4569.0
855,2022-07-30 20:03:06.657856,4924.0
856,2022-07-30 20:03:08.751251,4947.0
857,2022-07-30 20:03:14.401902,5091.0
