text,username,timestamp,message_id,channel_id,stream_id,unique_id,category,sentiment_a,sentiment_g,sentiment_v,sentiment_anders, 
YEEEAAH,yashu_p,"2022-06-12 14:06:15,904",183,D,1,183D1,among_us,,,,,
Sounds good to me LUL,sqwuack,"2022-06-12 14:06:15,949",184,D,1,184D1,among_us,,,,,
SUSSY SUNDAYS POGGERS,rebelmaster7,"2022-06-12 14:06:15,994",185,D,1,185D1,among_us,,,,,
Sounds great actually,pikablu2015,"2022-06-12 14:06:16,112",186,D,1,186D1,among_us,,,,,
yes,simplymenot,"2022-06-12 14:06:16,173",187,D,1,187D1,among_us,,,,,
oh lolol,ladycapicorn,"2022-06-12 14:06:16,470",188,D,1,188D1,among_us,,,,,
YES,m0rtalgm,"2022-06-12 14:06:16,509",189,D,1,189D1,among_us,,,,,
what does snitch do? @DisguisedToast,rechtsprechung,"2022-06-12 14:06:16,565",190,D,1,190D1,among_us,,,,,
time dude,iihoryii,"2022-06-12 14:06:16,627",191,D,1,191D1,among_us,,,,,
WATCH OUT HES GOT A LIGHTER,estebangei,"2022-06-12 14:06:16,703",192,D,1,192D1,among_us,,,,,
SO BROKEN KEKW,dontcallmebymyname89,"2022-06-12 14:06:16,703",193,D,1,193D1,among_us,,,,,
LUL,dadik2580,"2022-06-12 14:06:16,782",194,D,1,194D1,among_us,,,,,
epic,spiceybooks,"2022-06-12 14:06:16,782",195,D,1,195D1,among_us,,,,,
i like it,emilycoates,"2022-06-12 14:06:16,862",196,D,1,196D1,among_us,,,,,
okay,midnight4life,"2022-06-12 14:06:16,862",197,D,1,197D1,among_us,,,,,
PERFECT,wh1tecold,"2022-06-12 14:06:16,956",198,D,1,198D1,among_us,,,,,
YESS,aroselina,"2022-06-12 14:06:17,203",199,D,1,199D1,among_us,,,,,
Ninja,r3dofps,"2022-06-12 14:06:17,250",200,D,1,200D1,among_us,,,,,
answer me damn you,atbeast02,"2022-06-12 14:06:17,307",201,D,1,201D1,among_us,,,,,
DO IT,dch1ld,"2022-06-12 14:06:17,359",202,D,1,202D1,among_us,,,,,
dooo it,tahlvia,"2022-06-12 14:06:17,359",203,D,1,203D1,among_us,,,,,
YESSS KEKW,mysterious_person102,"2022-06-12 14:06:17,435",204,D,1,204D1,among_us,,,,,
yes,lightsparks54,"2022-06-12 14:06:17,512",205,D,1,205D1,among_us,,,,,
yeha,choayeon,"2022-06-12 14:06:17,587",206,D,1,206D1,among_us,,,,,
Yeah,skatnaset,"2022-06-12 14:06:17,666",207,D,1,207D1,among_us,,,,,
KEKW,alex_0325_,"2022-06-12 14:06:17,744",208,D,1,208D1,among_us,,,,,
good,ulquiorra686,"2022-06-12 14:06:17,744",209,D,1,209D1,among_us,,,,,
Wooo,jsishs12,"2022-06-12 14:06:18,026",210,D,1,210D1,among_us,,,,,
"that's good
""
",negs_sp,"2022-06-12 14:06:18,094",211,D,1,211D1,among_us,,,,,
OHH,lydbl,"2022-06-12 14:06:18,145",212,D,1,212D1,among_us,,,,,
Good,brymont2002,"2022-06-12 14:06:18,278",213,D,1,213D1,among_us,,,,,
SEER SEER SEER,sheeshjezuz,"2022-06-12 14:06:18,324",214,D,1,214D1,among_us,,,,,
not good with evil gusser tho,rex_lapis7,"2022-06-12 14:06:18,498",215,D,1,215D1,among_us,,,,,
LMAOO,nee_cap,"2022-06-12 14:06:18,543",216,D,1,216D1,among_us,,,,,
that will be OP,rawn10,"2022-06-12 14:06:18,892",217,D,1,217D1,among_us,,,,,
YEP,chiakiusami,"2022-06-12 14:06:19,104",218,D,1,218D1,among_us,,,,,
DO LIGHTER LMAO,ramen_noodlee,"2022-06-12 14:06:19,313",219,D,1,219D1,among_us,,,,,
thats cool,ragedogss,"2022-06-12 14:06:19,349",220,D,1,220D1,among_us,,,,,
TRACKER OS MEDIUM,dued27,"2022-06-12 14:06:19,390",221,D,1,221D1,among_us,,,,,
OP,rmd28,"2022-06-12 14:06:19,466",222,D,1,222D1,among_us,,,,,
YES LOL,crackeerr,"2022-06-12 14:06:19,541",223,D,1,223D1,among_us,,,,,
yes,clutch__times,"2022-06-12 14:06:19,837",224,D,1,224D1,among_us,,,,,
sure,weetusrateetus,"2022-06-12 14:06:19,877",225,D,1,225D1,among_us,,,,,
YES MEME ROLE,kueeey,"2022-06-12 14:06:19,877",226,D,1,226D1,among_us,,,,,
ooo,blkdamon18,"2022-06-12 14:06:19,937",227,D,1,227D1,among_us,,,,,
YESS,tchikuya,"2022-06-12 14:06:20,025",228,D,1,228D1,among_us,,,,,
KEKW,nee_cap,"2022-06-12 14:06:20,100",229,D,1,229D1,among_us,,,,,
No,airmuris,"2022-06-12 14:06:20,290",230,D,1,230D1,among_us,,,,,
a,acrispyydemon,"2022-06-12 14:06:20,379",231,D,1,231D1,among_us,,,,,
MEDIUM,astaaamfk,"2022-06-12 14:06:20,540",232,D,1,232D1,among_us,,,,,
yes,tenshi98769,"2022-06-12 14:06:20,584",233,D,1,233D1,among_us,,,,,
LMAOO YES,filosmilk,"2022-06-12 14:06:20,666",234,D,1,234D1,among_us,,,,,
PERFECT,h0nk_nottaken,"2022-06-12 14:06:20,830",235,D,1,235D1,among_us,,,,,
VERY FUNNY,mysterious_person102,"2022-06-12 14:06:20,871",236,D,1,236D1,among_us,,,,,
yes,13cold,"2022-06-12 14:06:21,095",237,D,1,237D1,among_us,,,,,
do one reg crewmate,jakahhh,"2022-06-12 14:06:21,169",238,D,1,238D1,among_us,,,,,
guardian angel,ghxstie7,"2022-06-12 14:06:21,208",239,D,1,239D1,among_us,,,,,
Ooh nice,monx_x,"2022-06-12 14:06:21,294",240,D,1,240D1,among_us,,,,,
yesss,iyrah_,"2022-06-12 14:06:21,607",241,D,1,241D1,among_us,,,,,
you have sheriff and deputy so two,salveck,"2022-06-12 14:06:22,383",242,D,1,242D1,among_us,,,,,
KEKW,atinyflame,"2022-06-12 14:06:22,418",243,D,1,243D1,among_us,,,,,
Yes,r3dofps,"2022-06-12 14:06:22,418",244,D,1,244D1,among_us,,,,,
OPPP,tchikuya,"2022-06-12 14:06:22,418",245,D,1,245D1,among_us,,,,,
yes,epiknoicee,"2022-06-12 14:06:22,418",246,D,1,246D1,among_us,,,,,
Perfect,omicron_eros,"2022-06-12 14:06:22,418",247,D,1,247D1,among_us,,,,,
that sounds OP,n0neofyourbis,"2022-06-12 14:06:22,701",248,D,1,248D1,among_us,,,,,
KEKW,taylor_swift_lover13,"2022-06-12 14:06:22,739",249,D,1,249D1,among_us,,,,,
DO IT,nj_rose3,"2022-06-12 14:06:22,739",250,D,1,250D1,among_us,,,,,
NotLikeThis NotLikeThis,ladycapicorn,"2022-06-12 14:06:22,779",251,D,1,251D1,among_us,,,,,
hahahaha,xxpenjoxx,"2022-06-12 14:06:22,880",252,D,1,252D1,among_us,,,,,
NOOOOOOOOOO F,dued27,"2022-06-12 14:06:22,933",253,D,1,253D1,among_us,,,,,
KEKW,sirenalynx,"2022-06-12 14:06:23,604",254,D,1,254D1,among_us,,,,,
Sounds funny,jsishs12,"2022-06-12 14:06:23,644",255,D,1,255D1,among_us,,,,,
KEKW,crackeerr,"2022-06-12 14:06:23,778",256,D,1,256D1,among_us,,,,,
SUSY,incurs_io_,"2022-06-12 14:06:24,126",257,D,1,257D1,among_us,,,,,
Is there a second deputy possible?,heeresfleiger,"2022-06-12 14:06:24,468",258,D,1,258D1,among_us,,,,,
lets goooo,yashu_p,"2022-06-12 14:06:24,536",259,D,1,259D1,among_us,,,,,
He will be guessed?,sonyamonyaa,"2022-06-12 14:06:24,621",260,D,1,260D1,among_us,,,,,
Do seeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeer,matthewverbeek,"2022-06-12 14:06:24,726",261,D,1,261D1,among_us,,,,,
op role,peacecollector,"2022-06-12 14:06:24,961",262,D,1,262D1,among_us,,,,,
OP LIGHTER,mysterious_person102,"2022-06-12 14:06:25,126",263,D,1,263D1,among_us,,,,,
thats op perfect,blkdamon18,"2022-06-12 14:06:25,222",264,D,1,264D1,among_us,,,,,
AHAHAHAHA,nee_cap,"2022-06-12 14:06:25,261",265,D,1,265D1,among_us,,,,,
KEKW,twinblaze1213,"2022-06-12 14:06:25,466",266,D,1,266D1,among_us,,,,,
"That's gonna be insanely busted.
""
",bhu1234,"2022-06-12 14:06:25,681",267,D,1,267D1,among_us,,,,,
NOT EVERY ROLE HAS TO BE OP,brymont2002,"2022-06-12 14:06:25,824",268,D,1,268D1,among_us,,,,,
LETS GO,juwi_ow,"2022-06-12 14:06:25,983",269,D,1,269D1,among_us,,,,,
funny,graveyard_haunting,"2022-06-12 14:06:26,022",270,D,1,270D1,among_us,,,,,
OMEGALUL,alex_0325_,"2022-06-12 14:06:26,081",271,D,1,271D1,among_us,,,,,
LOL,jennakip,"2022-06-12 14:06:26,165",272,D,1,272D1,among_us,,,,,
Lower CD?,franciscooo25,"2022-06-12 14:06:26,438",273,D,1,273D1,among_us,,,,,
KEKW,maitsu_,"2022-06-12 14:06:26,526",274,D,1,274D1,among_us,,,,,
YES,apria_queen101,"2022-06-12 14:06:26,563",275,D,1,275D1,among_us,,,,,
yayyyyy,aadya123,"2022-06-12 14:06:26,775",276,D,1,276D1,among_us,,,,,
no,xluk4s_,"2022-06-12 14:06:27,091",277,D,1,277D1,among_us,,,,,
